Q,A
编码信道的输入输出信号是？,数字序列
信号进入恒参信道会产生什么影响？,信号进入恒参信道，基本不失真，但是幅度可能会衰减。
恒参信道的主要传输特性,幅频特性、相频特性、群时延。
恒参信道的特性对信号的影响,①对信号在幅度上产生固定的衰减②对信号在时间上产生固定的延迟
恒参信道是指？,如果实际信道的性质（参数）不随时间变化，或者基本不随时间变化，或者变化极慢，则可以认为是恒参信道。 一般的有线信道可以看作是恒参信道，部分无线信道可看作是恒参信道。
随参信道的传输媒介的三个特点,对信号的衰耗随时间随机变化。信号传输的传输时延随时间随机变化。多径传播
什么是多径效应？,信号经过几条路径达到接收端，且每条路径的长度时延和衰减都随着时间而变，即多径传播现象，多径传播对信号的影响称为多径效应。
多径衰落对信号传播的影响,多径衰落与频率弥散，频率选择性衰落与相关带宽
窄带信号波形图的特点？,从波形上看，多径传播的结果使确定的单一载频信号变成了包络和相位都随机变化的窄带信号。起伏很密，快慢与Wc有关。
多径效应为数字信号带来的影响？,多径效应会使数字信号的码间串扰增大。为了减小码间串扰的影响，通常要降低码元传输速率。因为码元传输速率降低，则信号带宽也将随之减小，多径效应的影响也将随之减轻。
信号衰弱是指？,信号包络因传播由了起伏的现象
衰弱的分类？,快衰弱：为多径传播引起的信号衰弱。慢衰弱：信道自身特性的变化引起的传输信号的衰弱。频率选择性衰弱：多径引起的衰弱以频率选择性衰弱为主。时间选择性衰弱：传输频率引起。平衰弱：出现在低俗数据传输时。
多普勒效应对信号的影响？,多普勒效应会引起信号频谱展宽、中心频率偏移。
信道可能引起哪些失真？,（1）码间串扰：传输特性不理想或多径引起（2）频率偏移：主要由多普勒效应引起（3）信号衰落：多径或信号自身变化引起
信道中的噪声分类？,（1）按照来源分：①人为噪声、②自然噪声（2）按照性质分：①脉冲噪声②窄带噪声：可以看作是一种非所需的连续的已调正弦波，或者看成一个振幅恒定的单一频率的正弦波③起伏噪声：一般认为是近似高斯白噪声，且在很宽的频谱范围内都具有平坦的功率谱密度
香农公式的物理意义？,香农公式表明的是当信号与信道加性高斯白噪声的平均功率给定时，在具有一定频带宽度的信道上，理论上单位时间可能传输的信息量的极限数值。
调制与解调的含义？,调制：把信号形式转换成适合在信道中传输的一种过程。解调：将已调信号中的调制信号恢复出来。
研究抽样定理的物理意义？为什么要对信号抽样？,对于一个带宽有限的连续模拟信号进行抽样时，若抽样速率足够大，则这些抽样值就能够完全代表原模拟信号并且能够由这些抽样值准确的恢复原模拟信号波形。因此，不一定要传输模拟信号本身，可以只传输这些离散的抽样值，接收端就能恢复原模拟信号。
什么是PAM？,脉冲振幅调制，利用连续时间的基带时域信号去调制矩形脉冲载波信号的幅度，即矩形脉冲载波信号的幅度的变化来传递连续时间的基带时域信号的幅度。
目前通信原理由哪两个大体制组成？,连续波体制和脉冲波体制
PAM与PCM的区别与联系,①PAM得到的是模拟信号，PCM得到的是数字信号②PAM用的是窄脉冲对信号进行抽样，窄指的是脉冲宽度相比于脉冲的重复周期T小。PCM是对该信号进行理想抽样、量化、编码。
PCM与DPCM的区别与联系,PCM是对抽样值本身直接进行量化编码。DPCM是对相邻抽样值的差进行量化编码。所以DPCM输出的位数要比输出的位数
通信的目的是什么？,传递消息中所包含的信息。
信息的定义是什么？,是消息中包含的有效内容
模拟信号与数字信号的参量取值的区别？,模拟信号的参量取值是连续（不可数、无穷多）的（抽样信号未量化仍为模拟信号）。数字信号的参量取值是可数的有限的
通信系统的分类？,按照信道中传输的是模拟信号还是数字信号，相应地把通信系统分为模拟通信系统和数字通信系统，按照传输媒介、通信系统可分为有线通信系统和无线通信系统。
信源编码与译码目的是？,①提高信息传输的有效性②完成模/数转换 
信道编码与译码目的是？,增强抗干扰能力，提高可靠性
基本的数字调控方式有哪些？,基本的数字调控方式有振幅键控（ASK）、频移键控(FSK)、绝对相移键控(PSK)、相对（差分）相移键控(DPSK)
同步的分类？,按同步的公用不同，分为载波同步、位同步、群（帧）同步、网同步
数字通信的特点？,优点：①抗干扰能力强，且噪声不积累②传输差错可控③便于用现代数字信号处理技术对数字信息进行处理、变换、存储。（便于将来自不同信源的信号综合到一起传输）④易于集成，使通信设备微型化，重量轻⑤易于加密处理，且保密性好。缺点：①需要较大的传输带宽②对同步要求高。
按信号复用方式进行分类？,频分复用、时分复用、码分复用
按信号特征分类？,模拟通信系统和数字通信系统
按信号传输媒介进行分类？,有线通信系统和无线通信系统。
阐述频分复用、时分复用、码分复用的区别？,频分复用是用频谱搬移的方法使不同信号占据不同的频率范围，时分复用是用脉冲调制的方法使不同的信号占据不同的时间区间，码分复用是用正交的脉冲序列分别携带不同的信号。
阐述单工、半双工和全双工通信的区别？,单工通信：消息只能单方向传输的工作方式。半双工通信：通信双方都能收发消息，但不能同时收发的工作方式。全双工通信：通信双方可同时进行收发消息的工作方。
通信系统主要性能指标有？,通信系统的主要性能指标：有效性和可靠性。有效性：指传输一定信息量时所占用的信道资源（频带宽度和时间间隔），或者说是传输的“速度”问题。可靠性：指接收信息的准确程度，也就是传输的“质量”问题。
码元传输速率RB的定义？,为单位时间（每秒）传送码元的数目，单位为波特（Baud），简记为B。
简述信号、消息与信息的区别,1、信号：消息的电的表示形式。在电通信系统中，电信号是消息传递的物质载体。2、消息：信息的物理表现形式。如语言、文字、数据或图像等。3、信息：消息的内涵，即信息是消息中所包含的人们原来不知而待知的内容。
数字通信的含义是？,数字通信是用数字信号作为载体来传输消息，或用数字信号对载波开展数字调制后再传输的通信方式。它可传输电报、数字数据等数字信号，也可传输经过数字化处理的语声和图像等模拟信号。
模拟通信的含义是？,模拟通信是指利用正弦波的幅度、频率或相位的变化，或者利用脉冲的幅度、宽度或位置变化来模拟原始信号，以到达通信的目的。
数据通信的含义是？,数据通信是通信技术和计算机技术相结合而产生的一种新的通信方式。
阐述通信系统的一般模型,按照信道中传输的是模拟信号还是数字信号，可相应地把通信系统分为模拟通信系统和数字通信系统。模拟通信系统是传输模拟信号的通信系统。模拟信号具有频率很低的频谱分量，一般不宜直接传输，需要把基带信号变换成其频带适合在信道中传输的频带信号，并可在接收端开展反变换。完成这种变换和反变换作用的通常是调制器和解调器。数字通信系统是传输数字信号的通信系统。数字通信涉及的技术问题很多，其中主要有信源编码或译码、信道编码/译码、数字调制/解调、数字复接、同步以及加密等。
阐述通信系统的分类,1、按通信业务分类分为话务通信和非话务通信。2、根据是否采用调制，可将通信系统分为基带传输和频带（调制）传输。3、按照信道中所传输的是模拟信号还是数字相应地把通信系统分成模拟通信系统和数字通信系统。4、按传输媒质分类，可分为有线通信系统和无线通信系统两大类。
阐述有线通信与无线通信的区别,有线通信是用导线（如架空明线、同轴电缆、光导纤维、波导等）作为传输媒质完成通信的，如市内电话、有线电视、海底电缆通信等。无线通信是依靠电磁波在空间传播到达传递消息的目的的，如短波电离层传播、微波视距传播、卫星中继等。
阐述常见传输多路信号的两种复用方式,即频分复用、时分复用。频分复用是用频谱搬移的方法使不同信号占据不同的频率范围。时分复用是用脉冲调制的方法使不同信号占据不同的时间区间。
解释一下信息的含义,信号是消息的载体，而信息是消息的内涵。任何信源产生的输出都是随机的，信息含量就是对消息中这种不确定性的度量，是用统计方法来定性的。消息出现的概率越小，消息中包含的信息量就越大。
阐述一下信息量的计算,信息量I与消息出现的概率P(x)之间的关系应为：信息量的单位与对数底数a有关。a=2时，信息量的单位为比特(bit)，a=e时，信息量的单位为奈特(nat)，a=10时，信息量的单位为哈特莱（Hartley）。目前广泛使用的单位为比特。
通信系统的主要性能指标有哪些？,通信系统的主要性能指标是系统的有效性和可靠性。有效性是指在给定时间内所传输的信息内容的多少，或者说是传输的“速度”问题，有效性指标：用单位时间传送的信息量来衡量，传送信息量越大，有效性越好。可靠性是指接收信息的准确程度，也就是传输的“质量”问题。可靠性指标：用接收端最终输出信噪比来度量，信噪比越大，可靠性越好。
系统的概念？,一般来讲，系统是一个由若干互有关联的单元组成的并具有某种功能以用来到达某些特定目的的有机整体，其意义十分广泛。
系统通常可以怎样进行分类？,连续时间系统与离散时间系统。即时系统和动态系统（按照系统内是否含有记忆元件）无源系统和有源系统（按系统内是否含源）。集中参数系统和分布参数系统（按系统的参数是集中的或分布的）。线性系统和非线性系统（按其特性分）时不变系统与时变系统（按其参数是否随t而变）。
信号的基本概念？,信号是消息的一种物理表达，消息则是信号的具体内容。各种传输信号的方法：烽火、鼓声、旗语、电信号。信号按物理属性分：电信号和非电信号。
描述信号的常用方法有哪些？,（1）函数表达式f(t)，（2）波形。
请说明信号的分类,确知信号：可以用确定时间函数表示的信号，称为确定信号或规则信号。如正弦信号。随机信号：不能用确定时间函数表示的信号，且在任意时刻的取值都具有不确定性，只可能知道它的统计特性，如在某时刻取某一数值的概率，这类信号称为随机信号或不确定信号。
确知信号的类型,1、对于能量信号，能量等于一个有限正值，但平均功率为零。2、对于功率信号，平均功率等于一个有限值，但能量为无穷大。3、能量信号和功率信号的分类对于非确知信号也使用。
什么是随机过程？,随机过程是一类随时间作随机变化的过程，它不能用确切的时间函数描述。可从两种不同角度看：角度1：对应不同随机试验结果的时间过程的集合。角度2：随机过程是随机变量概念的延伸。
方差的定义？,方差等于均方值与均值平方之差
在通信中我们为什么要研究平稳随机过程？,在通信系统中所遇到的信号及噪声，大多数可视为平稳的随机过程。因此，研究平稳随机过程有着很大的实际意义。
能否从一次试验而得到的一个样本函数x(t)来决定平稳过程的数字特征呢?,答复是肯定的。平稳过程在满足一定的条件下具有一个有趣而又非常有用的特性，称为“各态历经性”（又称“遍历性”）。
“各态历经”的含义？,随机过程中的任一次实现都经历了随机过程的所有可能状态。具有各态历经的随机过程一定是平稳过程，反之不一定成立。在通信系统中所遇到的随机信号和噪声，一般均能满足各态历经条件。
高斯随机过程的重要性质？,1、高斯过程的n维分布只依赖各个随机变量的均值、方差和归一化协方差。2、广义平稳的高斯过程也是严平稳的。3、因为，若高斯过程是广义平稳的，即其均值与时间无关，协方差函数只与时间间隔有关，而与时间起点无关，则它的n维分布也与时间起点无关，故它也是严平稳的。所以，高斯过程若是广义平稳的，则也严平稳。4、高斯过程经过线性变换后生成的过程仍是高斯过程。也可以说，若线性系统的输入为高斯过程，则系统输出也是高斯过程。
系统的表示,数学表达式：系统物理特性的数学抽象。系统图：形象地表示其功能。
信道的基本概念？,连接发送端和承受端的通信设备，其功能是将信号从发送端传送到接收端。
信道的分类？,无线信道－电磁波（含光波，有线信道－电线。
光纤信道中的干扰？,有源干扰－噪声，无源干扰－传输特性不良。
信道中存在的不需要的电信号。又称加性干扰。按噪声来源分类可以分为？,人为噪声，例：开关火花、电台辐射。自然噪声，例：闪电、大气噪声、宇宙噪声、热噪声。
热噪声的来源？,来自一切电阻性元器件中电子的热运动。
对加性干扰按噪声性质分类？,脉冲噪声：是突发性地产生的，幅度很大，其持续时间比间隔时间短得多。其频谱较宽。电火花就是一种典型的脉冲噪声。窄带噪声：来自相邻电台或其他电子设备，其频谱或频率位置通常是确知的或可以测知的。可以看作是一种非所需的连续的已调正弦波。起伏噪声：包括热噪声、电子管内产生的散弹噪声和宇宙噪声等。
描述模拟信号的抽样定理,设一个连续模拟信号m(t)中的最高频率<fH，则以间隔时间为T1/2fH的周期性冲激脉冲对它抽样时，m(t)将被这些抽样值所完全确定。
周期性脉冲序列有4个参量，分别为？,脉冲重复周期、脉冲振幅、脉冲宽度和脉冲相位（位置）。其中脉冲重复周期（抽样周期）一般由抽样定理决定，故只有其他3个参量可以受调制。
请说明3种脉冲调制,脉冲振幅调制(PAM)脉冲宽度调制(PDM)脉冲位置调制(PPM)
描述抽样信号的量化,量化原理设模拟信号的抽样值为m(kT)，其中T是抽样周期，k是整数。此抽样值仍然是一个取值连续的变量。若仅用N个不同的二进制数字码元来代表此抽样值的大小，则N个不同的二进制码元只能代表M=2N个不同的抽样值。因此，必须将抽样值的范围划分成M个区间，每个区间用一个电平表示。这样，共有M个离散电平，它们称为量化电平。用这M个量化电平表示连续抽样值的方法称为量化。
为什么实际应用中常采用非均匀量化？,在实际应用中，对于给定的量化器，量化电平数M和量化间隔v都是确定的，量化噪声Nq也是确定的。但是，信号的强度可能随时间变化（例如，语音信号）。当信号小时，信号量噪比也小。所以，这种均匀量化器对于小输入信号很不利。为了克服这个缺点，改善小信号时的信号量噪比，在实际应用中常采用非均匀量化。
阐述非均匀量化原理？,实际中，非均匀量化的实现方法通常是在开展量化之前，先将信号抽样值压缩，再开展均匀量化。这里的压缩是用一个非线性电路将输入电压x变换成输出电压y：y=f(x)
说出你知道哪些压缩律？,关于电话信号的压缩特性，ITU制定了两种建议，即A压缩律和压缩律，以及相应的近似算法－13折线法和15折线法。我国大陆、欧洲各国以及国际间互连时采用A律及相应的13折线法。北美、日本和韩国等少数国家和地区采用律及15折线法。
自动要求重发(ARQ)系统的概念与种类？,采用检错重发的通信系统一般称为自动要求重发系统。共3种ARQ系统：1、停止等待ARQ系统2、拉后ARQ系统3、选择重发ARQ系统
阐述ARQ编码的优缺点？,ARQ的主要优点：和前向纠错方法相比监视码元较少即能使误码率降到很低，即码率较高。检错的计算复杂度较低。检错用的编码方法和加性干扰的统计特性基本无关，能适应不同特性的信道。ARQ的主要缺点：需要双向信道来重发，不能用于单向信道，也不能用于一点到多点的通信系统。因为重发而使ARQ系统的传输效率降低。在信道干扰严重时，可能发生因不断反复重发而造成事实上的通信中断。在要求实时通信的场合，例如电话通信，往往不允许使用ARQ法
分组码的码重和码距码重,把码组中“1”的个数目称为码组的重量，简称码重。码距：把两个码组中对应位上数字不同的位数称为码组的距离，简称码距。最小码距：把某种编码中各个码组之间距离的最小值称为最小码距(d0)。
码距和检纠错能力的关系？,一种编码的最小码距d0的大小直接关系着这种编码的检错和纠错能力：1、为检测e个错码，要求最小码距d0e+1。2、为了纠正t个错码，要求最小码距d02t+1。3、为纠正t个错码，同时检测e个错码，要求最小码距，这种纠错和检错结合的工作方式简称纠检结合。
恒比码的概念与其主要优势？,在恒比码中，每个码组均含有相同数目的“1”（和“0”）。由于“1”的数目与“0”的数目之比保持恒定，故得此名。这种码在检测时，只要计算接收码组中“1”的数目是否对，就知道有无错码。恒比码的主要优点是简单和适于用来传输电传机或其他键盘设备产生的字母和符号。对于信源来的二进制随机数字序列，这种码就不适合使用了。
通信网的基本组成部分有哪些？,终端设备：包括电话机、传真机、电台、计算机等发送和接收信号的设备。通信链路：定义在一定的频域和空域，它占用给定的频带和物理空间。链路可以被时分复用或频分复用。交换设备：按照信令将通信链路传来的信号转接到另一条链路的设备。有些通信网中还包含转发设备。
阐述通信网的分类？,按照功能区分：电报网、电话网、电传(Telex)网以及电视网等等。按照拓扑构造区分：网形：网形网的任意两个节点之间都有一条链路直接相连。所以若网中共有N个节点，则需要N(N-1)/2条链路连接。当N增大时，所需链路数目将急剧增加，故经济性较差。但是，若各节点有转发功能，则可靠性大为增加。星形网：在星形网中，若共有N个节点，则共需(N-1)条链路。除中心节点外，其他节点之间的通信都需要经过中心节点转接。故在中心节点处需要有交换设备为其他各个节点转接信号。和网形网相比，星形网需要的链路数目减少了，但是需要增加交换设备。环形网：环形网所需的链路数目N等于节点数目，并且每个节点都需要有转发功能。在这里，任意两个节点之间都有一条迂回链路，所以可靠性比星形网高。但是，在某些节点之间可能需要多次转发，这个因素又会使传输时延增大和可靠性下降。总线形网：在总线形网中，利用一条“总线”连接所有节点。由于所有节点共用这条总线，即总线同时只能为两个节点服务，所以它主要用于分时工作的计算机局域网中。由于总线形网和环形网的上述特点，当网中节点数目较大时，可能使信号传输的时延较长。这两种网主要适合用于节点数目较少的计算机网中。复合形网：复合形网是上述几种基本型网的组合。根据对网络的性能要求，常将几种基本型网结合使用，以求到达技术和经济指标优化的目的。
电话网的组成和分类？,由终端设备（电话机）、传输线路和交换设备组成。分类：专用交换电话网、公共交换电话网(PSTN)
什么是通信原理,通信原理是研究信息传送方法以及如何实现准确传输的科学。
定义并解释数字通信中的“采样定理”是什么,采样定理，也称为奈奎斯特定理，它规定了原始信号被完整无失真地恢复所需要遵循的采样频率，即采样频率必须大于原始信号最高频率的2倍。
阐释无线通信中，"频率调制"是如何工作的,频率调制(或FM)是把信息信号的变化转化为载波频率的变化。当信息信号的振幅或频率改变时，会导致载波的频率相应地改变。
什么是香农定理，并解释其重要性,香农定理是一个描述在给定信噪比下，能够达到的最高数据传输率的公式。这个理论对于了解通信系统的极限性能和设计有极大的帮助。
解释什么是调制和解调,调制是把信息信号转换为适合于传输的形态，而解调则是在接收端把调制后的信号还原为原始的信息信号。
在通信原理中，什么是编码与解码,编码是把信息信号转换为适合于存储或传输的形态，而解码则是在接收端把编码后的信号还原为原始的信息信号。
定义香农公式，并说明其作用,香农公式是描述在给定信道容量和信噪比条件下，可以达到的最大数据传输速率的公式。这个公式对于了解和设计通信系统的极限性能有着极其重要的作用。
谈谈你对“码分多址”技术的理解,码分多址(CDMA)是一种将多个信号或数据流分别编码在一条通信路径上的技术，每个信号都有一个唯一的识别码，只有对应的接收设备才能将其解码。
描述在通信系统中，重复校验的作用,重复校验是一种简单的错误检测方式，通过将数据位重复多次来实现。如果接收的重复位不一样，就认为有错误发生。
解释在通信原理中，链路预算的概念,链路预算是指在设计和评估无线通信系统时，将所有增益和损耗因素都考虑进来进行计算的一个概念，用于确定系统是否能满足特定的性能要求。
什么是通信原理？,通信原理是指通过传输介质将信息从发送方传递到接收方的基本原理和方法。
什么是信号？,信号是携带信息的物理量或波形，可以是电压、电流、光强等。
什么是模拟信号？,模拟信号是连续变化的信号，可以取无限个数的值。
什么是数字信号？,数字信号是离散的信号，只能取有限个数的值。
什么是调制？,调制是将信息信号转换为适合传输的信号形式的过程。
什么是解调？,解调是将调制信号还原为原始信息信号的过程。
什么是基带信号？,基带信号是未经调制的原始信息信号。
什么是载波信号？,载波信号是用于传输信息的高频信号。
什么是调幅调制（AM）？,调幅调制是通过改变载波的振幅来传输信息的调制方式。
什么是调频调制（FM）？,调频调制是通过改变载波的频率来传输信息的调制方式。
什么是调相调制（PM）？,调相调制是通过改变载波的相位来传输信息的调制方式。
什么是频分多路复用（FDM）？,频分多路复用是将不同频率的信号叠加在一起传输的技术。
什么是时分多路复用（TDM）？,时分多路复用是将不同时间段的信号按顺序传输的技术。
什么是码分多址（CDMA）？,码分多址是利用不同的扩频码将多个用户的信号叠加在一起传输的技术。
什么是调制解调器（Modem）？,调制解调器是用于将数字信号转换为模拟信号或将模拟信号转换为数字信号的设备。
什么是信道？,信道是信号传输的通道，可以是导线、光纤、无线电波等。
什么是带宽？,带宽是信号在频率上的宽度，表示信号能够传输的频率范围。
什么是信噪比（SNR）？,信噪比是信号与噪声的比值，用于衡量信号的质量。
什么是误码率（BER）？,误码率是传输过程中出现错误比特的比例。
什么是调制度（Modulation Index）？,调制度是调制信号的幅度与载波信号的幅度之比。
什么是频率偏移（Frequency Offset）？,频率偏移是调制信号的频率与载波信号的频率之差。
什么是相位偏移（Phase Offset）？,相位偏移是调制信号的相位与载波信号的相位之差。
什么是码元（Symbol）？,码元是数字通信中表示信息的最小单位。
什么是调制速率（Modulation Rate）？,调制速率是单位时间内传输的码元数量。
什么是码率（Bit Rate）？,码率是单位时间内传输的比特数量。
什么是奈奎斯特准则（Nyquist Criterion）？,奈奎斯特准则是确定最大传输速率的公式，与信道带宽和信号的调制方式有关。
什么是香农定理（Shannon's Theorem）？,香农定理是确定最大可靠传输速率的公式，与信道带宽和信噪比有关。
什么是多径效应（Multipath Effect）？,多径效应是信号在传输过程中经过不同路径到达接收端，导致信号衰减和失真。
什么是前向纠错编码（Forward Error Correction）？,前向纠错编码是在发送端添加冗余信息，以便在接收端检测和纠正错误的编码方式。
什么是自动重传请求（Automatic Repeat Request）？,自动重传请求是在接收端检测到错误时向发送端请求重新发送数据的机制。
什么是同步传输？,同步传输是发送端和接收端通过时钟信号保持同步的数据传输方式。
什么是异步传输？,异步传输是发送端和接收端没有时钟信号同步的数据传输方式。
什么是协议？,协议是通信中约定的规则和格式，用于确保发送方和接收方之间的正确通信。
什么是分组交换（Packet Switching）？,分组交换是将数据分割成小的数据包进行传输的通信方式。
什么是电路交换（Circuit Switching）？,电路交换是在通信过程中建立一条专用的物理连接进行传输的通信方式。
什么是网络拓扑？,网络拓扑是指网络中节点和连接之间的物理或逻辑结构。
什么是集线器（Hub）？,集线器是用于连接多个设备的网络设备，将收到的数据广播给所有连接的设备。
什么是交换机（Switch）？,交换机是用于连接多个设备的网络设备，根据MAC地址将数据转发到目标设备。
什么是路由器（Router）？,路由器是用于连接不同网络的网络设备，根据IP地址将数据转发到目标网络。
什么是网关（Gateway）？,网关是连接不同协议或不同网络的设备，用于实现不同网络之间的通信。
什么是子网掩码（Subnet Mask）？,子网掩码是用于划分IP地址的网络部分和主机部分的标识。
什么是IP地址（Internet Protocol Address）？,IP地址是用于在网络中唯一标识设备的地址。
什么是MAC地址（Media Access Control Address）？,MAC地址是用于在局域网中唯一标识设备的地址。
什么是TCP协议（Transmission Control Protocol）？,TCP协议是一种可靠的传输协议，用于在网络中建立可靠的连接和传输数据。
什么是UDP协议（User Datagram Protocol）？,UDP协议是一种不可靠的传输协议，用于在网络中快速传输数据。
什么是HTTP协议（Hypertext Transfer Protocol）？,HTTP协议是用于在Web上传输超文本的协议。
什么是FTP协议（File Transfer Protocol）？,FTP协议是用于在网络上传输文件的协议。
什么是SMTP协议（Simple Mail Transfer Protocol）？,SMTP协议是用于在网络上传输电子邮件的协议。
什么是POP3协议（Post Office Protocol version 3）？,POP3协议是用于接收电子邮件的协议。
什么是IMAP协议（Internet Message Access Protocol）？,IMAP协议是用于接收和管理电子邮件的协议。
什么是信号？,信号是能够传递信息的物理量，可以是时间的函数，也可以是空间的函数。
什么是系统？,系统是处理信号的设备或算法。
什么是线性系统？,线性系统是满足叠加原理和齐次原理的系统。
什么是时不变系统？,时不变系统是指系统的特性不随时间改变的系统。
什么是因果系统？,因果系统是指系统的输出只与当前和过去的输入有关的系统。
什么是稳定系统？,稳定系统是指对于有界输入，系统的输出也是有界的。
什么是连续时间信号？,连续时间信号是定义在连续时间轴上的信号。
什么是复信号？,复信号是一种既有实部又有虚部的信号。
什么是实信号？,实信号是一种只有实部没有虚部的信号。
什么是幅度谱？,幅度谱是信号在频域上的幅度分布。
什么是相位谱？,相位谱是信号在频域上的相位分布。
什么是频谱？,频谱是信号在频域上的分布，包括幅度谱和相位谱。
什么是傅里叶变换？,傅里叶变换是一种将信号从时域转换到频域的数学工具。
信息论是什么？,信息论是一门研究信息的量化、存储、传输等问题的学科。
信息论的创始人是谁？,信息论的创始人是克劳德·香农。
什么是信息熵？,信息熵是衡量信息量的一个度量，表示信息的不确定性。
什么是联合熵？,联合熵是描述两个或多个随机变量共同不确定性的度量。
什么是条件熵？,条件熵是在已知一个随机变量的条件下，另一个随机变量的不确定性。
什么是相对熵？,相对熵是衡量两个概率分布之间差异的度量。
什么是互信息？,互信息是衡量两个随机变量之间相互依赖程度的度量。
什么是信息增益？,信息增益是决策树学习中用于选择最优划分属性的准则之一，表示得知特征X的信息而使得类Y的信息的不确定性减少的程度。
什么是香农编码？,香农编码是一种无前缀编码方法，用于无损数据压缩。
什么是赫夫曼编码？,赫夫曼编码是一种无前缀编码方法，用于无损数据压缩，比香农编码更有效。
什么是香农定理？,香农定理描述了在给定信道容量下，可以无差错地传输信息的最大速率。
什么是信道容量？,信道容量是信道在给定的物理条件下，可以传输的最大信息量。
什么是信道编码定理？,信道编码定理是香农定理的一部分，描述了在给定信道容量下，可以达到的最大编码速率。
什么是信道解码定理？,信道解码定理是香农定理的一部分，描述了在给定信道容量下，可以达到的最大解码速率。
什么是信源？,信源是产生信息的源头。
什么是信宿？,信宿是接收信息的终点。
什么是信道？,信道是信息从信源传输到信宿的媒介。
什么是信号？,信号是承载信息的物理量。
什么是噪声？,噪声是干扰信息传输的随机信号。
什么是数据压缩？,数据压缩是减少数据的存储空间或传输带宽的过程。
什么是无损压缩？,无损压缩是一种可以完全恢复原始数据的压缩方法。
什么是有损压缩？,有损压缩是一种不能完全恢复原始数据，但可以接近原始数据的压缩方法。
什么是编码？,编码是将信息转换为信号的过程。
什么是解码？,解码是将信号转换为信息的过程。
什么是调制？,调制是改变信号的某些特性以便于传输的过程。
什么是解调？,解调是恢复原始信号的过程。
什么是多工技术？,多工技术是在同一信道上同时传输多个信号的技术。
什么是分频多工？,分频多工是一种将信道的频带划分为多个子频带，每个子频带传输一个信号的多工技术。
什么是分时多工？,分时多工是一种将时间划分为多个时隙，每个时隙传输一个信号的多工技术。
什么是码分多工？,码分多工是一种使用不同的编码方案同时传输多个信号的多工技术。
什么是信道复用？,信道复用是一种在同一信道上同时传输多个信号的技术。
什么是信道分割？,信道分割是一种将信道划分为多个子信道的技术。
什么是信道等化？,信道等化是一种消除信道引起的信号失真的技术。
什么是信道估计？,信道估计是一种估计信道特性的技术。
什么是信道编码？,信道编码是一种增加信号的冗余度以便于错误检测和纠正的技术。
什么是信道解码？,信道解码是一种从接收到的信号中恢复原始信号的技术。
什么是信道干扰？,信道干扰是一种干扰信号传输的现象。
什么是信道衰减？,信道衰减是一种信号在传输过程中能量减小的现象。
什么是信道扩散？,信道扩散是一种信号在传输过程中扩散的现象。
什么是信道选择？,信道选择是一种选择最佳信道进行信号传输的过程。
什么是信道切换？,信道切换是一种在多个信道之间切换的过程。
什么是信道保护？,信道保护是一种保护信道不受干扰的技术。
什么是信道复用技术？,信道复用技术是一种在同一信道上同时传输多个信号的技术。
什么是信道分割技术？,信道分割技术是一种将信道划分为多个子信道的技术。
什么是信道等化技术？,信道等化技术是一种消除信道引起的信号失真的技术。
什么是信道估计技术？,信道估计技术是一种估计信道特性的技术。
什么是信道编码技术？,信道编码技术是一种增加信号的冗余度以便于错误检测和纠正的技术。
什么是信道解码技术？,信道解码技术是一种从接收到的信号中恢复原始信号的技术。
什么是信道干扰技术？,信道干扰技术是一种干扰信号传输的技术。
什么是信道衰减技术？,信道衰减技术是一种信号在传输过程中能量减小的技术
什么是拉普拉斯变换？,拉普拉斯变换是一种将信号从时域转换到复频域的数学工具。
什么是Z变换？,Z变换是一种将离散时间信号从时域转换到复频域的数学工具。
什么是卷积？,卷积是一种数学运算，用于描述线性时不变系统对输入信号的响应。
什么是相关？,相关是一种数学运算，用于描述两个信号之间的相似性。
什么是自相关？,自相关是一种数学运算，用于描述信号与其自身的相似性。
什么是互相关？,互相关是一种数学运算，用于描述两个不同信号之间的相似性。
什么是功率谱密度？,功率谱密度是描述信号在频域上的功率分布。
什么是能量谱密度？,能量谱密度是描述信号在频域上的能量分布。
什么是带通滤波器？,带通滤波器是一种只允许某一频带的信号通过的滤波器。
什么是带阻滤波器？,带阻滤波器是一种阻止某一频带的信号通过的滤波器。
什么是低通滤波器？,低通滤波器是一种只允许低频信号通过的滤波器。
什么是高通滤波器？,高通滤波器是一种只允许高频信号通过的滤波器。
什么是全通滤波器？,全通滤波器是一种所有频率的信号都可以通过的滤波器。
场效应管和晶体管比较（场效应管特点）,a.在环境条件变化大的场合，采用场效应管比较合适。b.场效应管常用来做前置放大器，以提高仪器设备的输入阻抗，降低噪声等。c.场效应管放大能力比晶体管低。d.工艺简单，占用芯片面积小，适宜大规模集成电路。在脉冲数字电路中获得更广泛的应用。
有源滤波器和无源滤波器的区别,无源滤波器：这种电路主要由无源元件 R、 L 和 C 组成。有源滤波器：集成运放和R、C组成，具有不用电感、体积小、重量轻等优点。集成运放的开环电压增益和输入阻抗均很高，输出电阻小，构成有源滤波电路后还具有一定的电压放大和缓冲作用。但集成运放带宽有限，所以目前的有源滤波电路的工作频率难以做得很高。
